Ingredient,Measure,IngredientNumber,idDrink
Sugar,1/2 cup,2,178352
lemon juice,1.5 cl,2,17210
Benedictine,1 tsp ,2,17189
Tia maria,1/2 oz ,2,11119
Lemon Juice,15 ml,2,17175
lemon,1,2,178326
Sour mix,3 oz ,2,13731
Kahlua,1 shot ,2,16419
Soda water,2 oz ,2,14564
Galliano,3/4 oz ,2,14282
Sweet and sour,,2,16202
Amaro Montenegro,1 oz,2,178349
Vodka,3 cups ,2,12796
Orange Juice,3 cl,2,178368
Peach schnapps,1/2 ,2,15743
Sugar,,2,12784
Wine,1 bottle Boone Strawberry Hill ,2,12876
Milk,,2,16990
Gin,3/4 oz ,2,11084
Water,2 tsp ,2,11420
Lemon Juice,8 cl,2,178366
Erin Cream,30 ml ,2,13405
Grapefruit Juice,3 oz,2,17252
Orange juice,1 L ,2,16041
Light rum,1 shot Jamaican ,2,14095
Blue Curacao,1 oz ,2,11117
Green Chartreuse,1 oz,2,17254
Sloe gin,1/2 oz ,2,11255
Maple syrup,1 oz ,2,12436
Orange Juice,2 1/2 oz,2,178337
Orange bitters,1 dash ,2,17834
Amaretto,3 shots ,2,17168
Amaretto,1 oz ,2,11422
Orange juice,1 shot ,2,16134
Amaretto,1 shot ,2,14087
Lime juice,1/3 ,2,14372
Tea,Turkish apple ,2,14456
Coconut Liqueur,1 shot,2,178354
Lemon Juice,3/4 oz,2,17829
Lime,1,2,178346
Almond,1 tblsp chopped ,2,12794
Light cream,1 1/2 oz ,2,11025
Butter,1 tsp ,2,12738
Sweet and sour,2 oz ,2,12055
Sweet Vermouth,1/2 oz ,2,11060
Bacardi Limon,1 oz ,2,15086
Triple sec,1/2 oz ,2,11472
Soda water,1 part ,2,14482
Lemon,Juice of 1/2 ,2,17005
Champagne,4 fifth ,2,15849
Elderflower cordial,15 ml,2,17824
Brandy,2 oz ,2,17202
Carbonated water,,2,11407
Lime,1 ,2,11202
Gin,1 oz,2,178339
Chocolate syrup,,2,15951
White Creme de Menthe,1/2 oz ,2,17193
Lemon-lime soda,5 oz ,2,13056
Sprite,1 part ,2,16991
Gin,1 1/2 oz ,2,12107
Peach nectar,2 oz ,2,17835
Sugar,1 cup ,2,13024
Vodka,1 oz ,2,14133
Triple Sec,3/4 oz,2,17250
Root beer,1/2 ,2,16403
Lime juice,1 tblsp ,2,11390
Lemon,Juice of 1/2 ,2,11415
Ouzo,1/4 oz ,2,16963
Dry Vermouth,1 tbsp,2,17181
Orange Curacao,1/2 oz ,2,16108
Butterscotch schnapps,1 part ,2,17220
Grand Marnier,1 oz ,2,13204
Orange juice,,2,12162
Lemon Juice,2 cl,2,178314
Grenadine,1 tsp ,2,11418
Lemon,Juice of 1/2 ,2,11410
Orange juice,4 parts ,2,12560
Tequila,1 oz,2,17174
Blue Curacao,1 oz ,2,11118
Cranberry Juice,2 shots ,2,17224
Water,125 ml ,2,12944
Sugar,1 1/2 cup ,2,12890
Tea,very sweet ,2,15813
Cranberry Juice,25 ml,2,178356
Dry Vermouth,1 oz ,2,11720
Gin,1 1/2 oz ,2,11339
Grand Marnier,1/2 oz ,2,11054
Irish cream,1 part,2,178306
Apricot brandy,1 oz ,2,11050
Lemon,Juice of 1/2 ,2,12057
Lemon juice,1 oz ,2,11580
Beer,12 oz ,2,13200
Wild Turkey,1/2 shot ,2,15288
Sloe gin,1 1/2 oz ,2,11106
Corn syrup,1 cup ,2,17044
Sweet Vermouth,1 oz ,2,11369
Lemon Juice,3 cl,2,178367
Lemon juice,1 oz ,2,12093
Amaretto,1 shot ,2,14378
Brown sugar,2 tsp,2,17176
Tropicana,2 parts ,2,15224
Falernum,1/3 oz,2,17830
Champagne,Top,2,178334
Sugar,1/2 cup ,2,13020
Dark Rum,2 parts,2,17268
Tea,3-4 tsp ,2,12774
Lemon juice,7 drops ,2,17108
Grand Marnier,1 splash ,2,14598
Sugar,1 tblsp ,2,13036
Lime juice,1 dash ,2,12756
Jello,3 packages ,2,14956
Angostura bitters,2 dashes,2,11001
Creme de Cassis,20 ml,2,17242
Vodka,3 oz ,2,16176
Honey,Unsweetened ,2,12776
Gin,1 oz ,2,12418
Orange juice,1 oz ,2,12308
Dry Vermouth,1/3 oz ,2,11005
Triple sec,1 tblsp ,2,11387
Lime,Juice of 1/2 ,2,11288
Anisette,1 1/2 oz ,2,12256
Bourbon,3/4 oz ,2,16987
Passoa,3 cl,2,178357
Chocolate,3 oz Mexican ,2,12732
Ginger ale,4 oz ,2,11320
Vanilla syrup,1/2 shot,2,178309
Passoa,20 ml,2,178338
Grapefruit Juice,4 oz,2,178327
Bacardi Limon,1 shot ,2,17035
Light rum,1/2 oz ,2,14588
Peach schnapps,1 oz ,2,15082
Orange juice,4 cl ,2,12654
Tomato Juice,4 oz,2,178343
Creme de Banane,1 cl ,2,15182
Cider,1/2 pint ,2,15789
Peach schnapps,3/4 oz ,2,12754
Triple sec,1 oz ,2,11600
Gin,1 1/2 oz ,2,11055
Lime juice,2 oz ,2,11009
Lime juice,1/4 oz ,2,17196
Milk,1 cup ,2,17221
Dry Vermouth,1/2 shot ,2,17229
7-up,1 part,2,178307
Light rum,1/2 oz ,2,11786
Pisang Ambon,1 part ,2,15266
Pink lemonade,2 cups ,2,13535
lemon juice,1.5 cl,2,17180
Passion fruit juice,6 cl ,2,12572
Honey,2 cl,2,178316
Half-and-half,1 1/4 cup ,2,12820
Bourbon,1 oz ,2,11021
Malibu rum,1 shot ,2,17074
Egg,1 whole ,2,11164
Maraschino liqueur,1/4 tsp ,2,17185
White Creme de Menthe,3/4 oz ,2,11028
Cherry brandy,1 1/2 tsp ,2,11239
Coffee,1/6 glass strong black ,2,15825
Maraschino liqueur,1/2 oz ,2,11662
