Entity,Code,Year,Leading cancer types causing death in males
Belarus,BLR,2014,Trachea and bronchus and lung
Belarus,BLR,2018,Trachea and bronchus and lung
Belgium,BEL,1954,Other malignant neoplasms
Belgium,BEL,1955,Other malignant neoplasms
Belgium,BEL,1956,Other malignant neoplasms
Belgium,BEL,1957,Other malignant neoplasms
Belgium,BEL,1958,Other malignant neoplasms
Belgium,BEL,1959,Other malignant neoplasms
Belgium,BEL,1960,Other malignant neoplasms
Belgium,BEL,1961,Other malignant neoplasms
Belgium,BEL,1962,Other malignant neoplasms
Belgium,BEL,1963,Other malignant neoplasms
Belgium,BEL,1964,Other malignant neoplasms
Belgium,BEL,1965,Trachea and bronchus and lung
Belgium,BEL,1966,Other malignant neoplasms
Belgium,BEL,1967,Other malignant neoplasms
Belgium,BEL,1968,Trachea and bronchus and lung
Belgium,BEL,1969,Trachea and bronchus and lung
Belgium,BEL,1970,Trachea and bronchus and lung
Belgium,BEL,1971,Trachea and bronchus and lung
Belgium,BEL,1972,Trachea and bronchus and lung
Belgium,BEL,1973,Trachea and bronchus and lung
Belgium,BEL,1974,Trachea and bronchus and lung
Belgium,BEL,1975,Trachea and bronchus and lung
Belgium,BEL,1976,Trachea and bronchus and lung
Belgium,BEL,1977,Trachea and bronchus and lung
Belgium,BEL,1978,Trachea and bronchus and lung
Belgium,BEL,1979,Trachea and bronchus and lung
Belgium,BEL,1980,Trachea and bronchus and lung
Belgium,BEL,1981,Trachea and bronchus and lung
Belgium,BEL,1982,Trachea and bronchus and lung
Belgium,BEL,1983,Trachea and bronchus and lung
Belgium,BEL,1984,Trachea and bronchus and lung
Belgium,BEL,1985,Trachea and bronchus and lung
Belgium,BEL,1986,Trachea and bronchus and lung
Belgium,BEL,1987,Trachea and bronchus and lung
Belgium,BEL,1988,Trachea and bronchus and lung
Belgium,BEL,1989,Trachea and bronchus and lung
Belgium,BEL,1990,Trachea and bronchus and lung
Belgium,BEL,1991,Trachea and bronchus and lung
Belgium,BEL,1992,Trachea and bronchus and lung
Belgium,BEL,1993,Trachea and bronchus and lung
Belgium,BEL,1994,Trachea and bronchus and lung
Belgium,BEL,1995,Trachea and bronchus and lung
Belgium,BEL,1996,Trachea and bronchus and lung
Belgium,BEL,1997,Trachea and bronchus and lung
Belgium,BEL,1998,Trachea and bronchus and lung
Belgium,BEL,1999,Trachea and bronchus and lung
Belgium,BEL,2000,Trachea and bronchus and lung
Belgium,BEL,2001,Trachea and bronchus and lung
Belgium,BEL,2002,Trachea and bronchus and lung
Belgium,BEL,2003,Trachea and bronchus and lung
Belgium,BEL,2004,Trachea and bronchus and lung
Belgium,BEL,2005,Trachea and bronchus and lung
Belgium,BEL,2006,Trachea and bronchus and lung
Belgium,BEL,2007,Trachea and bronchus and lung
Belgium,BEL,2008,Trachea and bronchus and lung
Belgium,BEL,2009,Trachea and bronchus and lung
Belgium,BEL,2010,Trachea and bronchus and lung
Belgium,BEL,2011,Trachea and bronchus and lung
Belgium,BEL,2012,Trachea and bronchus and lung
Belgium,BEL,2013,Trachea and bronchus and lung
Belgium,BEL,2014,Trachea and bronchus and lung
Belgium,BEL,2015,Trachea and bronchus and lung
Belgium,BEL,2016,Trachea and bronchus and lung
Belgium,BEL,2017,Trachea and bronchus and lung
Belgium,BEL,2018,Trachea and bronchus and lung
Belgium,BEL,2019,Trachea and bronchus and lung
Belgium,BEL,2020,Trachea and bronchus and lung
Belize,BLZ,1964,Other malignant neoplasms
Belize,BLZ,1965,Other malignant neoplasms
Belize,BLZ,1966,Other malignant neoplasms
Belize,BLZ,1967,Mouth and oropharynx
Belize,BLZ,1968,Other malignant neoplasms
Belize,BLZ,1969,Other malignant neoplasms
Belize,BLZ,1970,Prostate
Belize,BLZ,1971,Other malignant neoplasms
Belize,BLZ,1972,Other malignant neoplasms
Belize,BLZ,1973,Lymphomas and multiple myeloma
Belize,BLZ,1974,Other malignant neoplasms
Belize,BLZ,1975,Other malignant neoplasms
Belize,BLZ,1976,Other malignant neoplasms
Belize,BLZ,1977,Other malignant neoplasms
Belize,BLZ,1978,Other malignant neoplasms
Belize,BLZ,1979,Other malignant neoplasms
Belize,BLZ,1980,Other malignant neoplasms
Belize,BLZ,1982,Trachea and bronchus and lung
Belize,BLZ,1983,Prostate
Belize,BLZ,1984,Trachea and bronchus and lung
Belize,BLZ,1986,Stomach
Belize,BLZ,1987,Stomach
