Subject,eda,bvp,temp,x,y,z,emotion
1,0.08,26.54,31.49,-3,-12,64,0
1,0.08,20.89,31.49,-2,-12,64,0
1,0.08,-18.3,31.51,-3,-12,64,0
1,0.09,14.75,31.51,-2,-12,63,0
1,0.08,-15.46,31.51,-2,-11,64,0
1,0.08,-21.16,31.51,-3,-12,64,0
1,0.08,22.43,31.49,-3,-12,63,0
1,0.08,-22.65,31.49,-3,-12,64,0
1,0.09,26.16,31.49,-3,-12,64,0
1,0.08,32.36,31.49,-2,-12,64,0
1,0.08,-48.79,31.47,-2,-12,64,0
1,0.08,36.69,31.47,-3,-12,63,0
1,0.08,-9.83,31.47,-3,-12,64,0
1,0.09,9.23,31.47,-3,-12,64,0
1,0.08,10.65,31.47,-3,-12,65,0
1,0.08,-48.85,31.47,-2,-12,65,0
1,0.08,39.32,31.47,-3,-12,64,0
1,0.08,16.22,31.47,-3,-12,64,0
1,0.08,-4.09,31.45,-4,-12,64,0
1,0.08,-42.65,31.45,-3,-12,64,0
1,0.08,-1.65,31.45,-2,-12,63,0
1,0.08,32.35,31.45,-2,-12,64,0
1,0,-0.03,34.84,59,-28,3,0
1,0.08,5.06,34.84,60,-28,1,0
1,0.13,17.91,34.84,60,-27,-3,0
1,0.13,79.34,34.84,60,-26,-1,0
1,0.13,228.25,34.84,59,-27,-1,0
1,0.13,-486.5,34.84,61,-26,-1,0
1,0.13,-5.63,34.84,60,-26,-2,0
1,0.13,157.71,34.84,61,-27,-1,0
1,0.13,54.14,34.81,60,-27,-1,0
1,0.13,29.96,34.81,60,-27,-1,0
1,0.13,-5.59,34.81,60,-27,-1,0
1,0.13,-4.75,34.81,60,-27,-1,0
1,0.13,34.4,34.81,60,-27,-1,0
1,0.13,112.85,34.81,61,-27,-1,0
1,0.13,114.85,34.81,60,-27,-1,0
1,0.13,4.53,34.81,60,-27,0,0
1,0.13,-127.17,34.81,60,-27,0,0
1,0.13,-365.04,34.81,60,-27,0,0
1,0.13,-23.29,34.81,59,-27,0,0
1,0.13,48.45,34.81,60,-27,0,0
1,0.13,34.2,34.79,61,-27,0,0
1,0.13,14.09,34.79,60,-27,1,0
1,0.13,13.94,34.79,60,-27,1,0
1,0.13,18.38,34.79,60,-27,1,0
1,0.13,-1.93,34.75,60,-27,1,0
1,0.13,-22.61,34.75,60,-27,1,0
1,0.13,-6.46,34.75,59,-28,1,0
1,0.14,3.47,34.75,60,-27,1,0
1,0.13,12.06,34.75,60,-27,0,0
1,0.13,5.62,34.75,59,-28,0,0
1,0.13,-14.46,34.75,59,-27,0,0
1,0.13,-11.51,34.75,60,-27,0,0
1,0.14,-6.11,34.73,60,-27,0,0
1,0.13,8.2,34.73,60,-27,0,0
1,0.13,19.54,34.73,60,-27,0,0
1,0.13,-6.53,34.73,59,-27,1,0
1,0.14,-11.61,34.75,60,-27,0,0
1,0.14,-8.67,34.75,60,-27,0,0
